sequence_id,length,variant,selected_for_simulation,selected_for_hardware,num_variables,num_quadratic_terms
synth_000136,14,relaxed,True,False,7,11
synth_000136,14,postprocessed,True,False,7,0
synth_000104,14,strict,True,False,8,28
synth_000104,14,relaxed,True,False,8,23
synth_000104,14,postprocessed,True,False,8,0
synth_000107,14,strict,True,False,8,26
synth_000107,14,relaxed,True,False,8,21
synth_000107,14,postprocessed,True,False,8,0
synth_000119,14,strict,True,False,8,23
synth_000119,14,relaxed,True,False,8,19
synth_000119,14,postprocessed,True,False,8,0
synth_000126,14,strict,True,False,8,28
synth_000126,14,relaxed,True,False,8,20
synth_000126,14,postprocessed,True,False,8,0
synth_000134,14,strict,True,False,8,28
synth_000134,14,relaxed,True,False,8,22
synth_000134,14,postprocessed,True,False,8,0
synth_000147,14,strict,True,False,8,28
synth_000147,14,relaxed,True,False,8,18
synth_000147,14,postprocessed,True,False,8,0
synth_000204,16,strict,True,False,1,0
synth_000204,16,relaxed,True,False,1,0
synth_000204,16,postprocessed,True,False,1,0
synth_000206,16,strict,True,False,1,0
synth_000206,16,relaxed,True,False,1,0
synth_000206,16,postprocessed,True,False,1,0
synth_000235,16,strict,True,False,1,0
synth_000235,16,relaxed,True,False,1,0
synth_000235,16,postprocessed,True,False,1,0
synth_000232,16,strict,True,False,2,1
synth_000232,16,relaxed,True,False,2,1
synth_000232,16,postprocessed,True,False,2,0
synth_000233,16,strict,True,False,2,1
synth_000233,16,relaxed,True,False,2,1
synth_000233,16,postprocessed,True,False,2,0
synth_000248,16,strict,True,False,2,1
synth_000248,16,relaxed,True,False,2,1
synth_000248,16,postprocessed,True,False,2,0
synth_000214,16,strict,True,False,5,10
synth_000214,16,relaxed,True,False,5,7
synth_000214,16,postprocessed,True,False,5,0
synth_000236,16,strict,True,False,5,9
synth_000236,16,relaxed,True,False,5,9
synth_000236,16,postprocessed,True,False,5,0
synth_000211,16,strict,True,False,6,15
synth_000211,16,relaxed,True,False,6,12
synth_000211,16,postprocessed,True,False,6,0
synth_000230,16,strict,True,False,6,15
synth_000230,16,relaxed,True,False,6,15
synth_000230,16,postprocessed,True,False,6,0
synth_000231,16,strict,True,False,6,15
synth_000231,16,relaxed,True,False,6,11
synth_000231,16,postprocessed,True,False,6,0
synth_000246,16,strict,True,False,6,12
synth_000246,16,relaxed,True,False,6,11
synth_000246,16,postprocessed,True,False,6,0
synth_000210,16,strict,True,False,7,21
synth_000210,16,relaxed,True,False,7,19
synth_000210,16,postprocessed,True,False,7,0
synth_000238,16,strict,True,False,7,20
synth_000238,16,relaxed,True,False,7,12
synth_000238,16,postprocessed,True,False,7,0
synth_000201,16,strict,True,False,8,28
synth_000201,16,relaxed,True,False,8,23
synth_000201,16,postprocessed,True,False,8,0
synth_000226,16,strict,True,False,8,27
synth_000226,16,relaxed,True,False,8,15
synth_000226,16,postprocessed,True,False,8,0
synth_000242,16,strict,True,False,8,23
synth_000242,16,relaxed,True,False,8,21
synth_000242,16,postprocessed,True,False,8,0
synth_000208,16,strict,True,False,9,36
synth_000208,16,relaxed,True,False,9,36
synth_000208,16,postprocessed,True,False,9,0
synth_000215,16,strict,True,False,9,36
synth_000215,16,relaxed,True,False,9,30
synth_000215,16,postprocessed,True,False,9,0
synth_000250,16,strict,True,False,9,33
synth_000250,16,relaxed,True,False,9,32
synth_000250,16,postprocessed,True,False,9,0
synth_000243,16,strict,True,False,10,43
synth_000243,16,relaxed,True,False,10,43
synth_000243,16,postprocessed,True,False,10,0
synth_000205,16,strict,True,False,11,52
synth_000205,16,relaxed,True,False,11,36
synth_000205,16,postprocessed,True,False,11,0
synth_000224,16,strict,True,False,11,53
synth_000224,16,relaxed,True,False,11,48
synth_000224,16,postprocessed,True,False,11,0
synth_000247,16,strict,True,False,11,46
synth_000247,16,relaxed,True,False,11,38
synth_000247,16,postprocessed,True,False,11,0
synth_000213,16,strict,True,False,12,64
synth_000213,16,relaxed,True,False,12,63
synth_000213,16,postprocessed,True,False,12,0
synth_000240,16,strict,True,False,12,60
synth_000240,16,relaxed,True,False,12,50
synth_000240,16,postprocessed,True,False,12,0
synth_000245,16,strict,True,False,12,65
synth_000245,16,relaxed,True,False,12,48
