length,variant,backend_mode,backend_name,num_sequences,num_sequence_runs,mean_energy_gap,std_energy_gap,mean_pair_f1,std_pair_f1,mean_weighted_raw_validity,std_weighted_raw_validity,mean_weighted_stems_removed,std_weighted_stems_removed,mean_retained_probability_mass,std_retained_probability_mass,mean_num_variables,std_num_variables,mean_num_quadratic_terms,std_num_quadratic_terms,mean_num_qubits,std_num_qubits,mean_circuit_depth,std_circuit_depth,mean_sampling_seconds,std_sampling_seconds
16,relaxed,aer,aer_simulator,30,30,0.19666666984558107,0.8397386183723027,0.9333333333333333,0.2537081317024624,0.36471354166666664,0.3708947050243872,1.61845703125,1.5146994999653602,1.0,0.0,7.566666666666666,3.953901027255656,25.766666666666666,21.86428883903571,7.566666666666666,3.953901027255656,14.833333333333334,7.861224495885653,0.010485193666727307,0.005087669821640242
18,relaxed,aer,aer_simulator,30,30,0.33999999885757765,0.7318375509421293,0.7952380952380953,0.40524939252070463,0.15001627604166667,0.24201413216360546,2.9522135416666666,2.1396675291484284,1.0,0.0,11.733333333333333,4.600849496772745,52.266666666666666,36.3317409753352,11.733333333333333,4.600849496772745,22.466666666666665,9.16414803434571,0.051378607299981574,0.14187936990429906
19,relaxed,aer,aer_simulator,30,30,0.03666666472951571,0.1376736052541881,0.9285714285714286,0.2537543571071828,0.14215494791666666,0.19182533738629085,2.765234375,1.817206389728012,1.0,0.0,11.9,4.253598881920563,51.833333333333336,32.76571308583087,11.9,4.253598881920563,22.966666666666665,8.356221441633126,0.03617082563335614,0.052658488024074294
20,relaxed,aer,aer_simulator,30,30,0.2733333388964335,0.7638077556870204,0.8582010582010582,0.3438898001825716,0.18732096354166666,0.2848905781423927,2.9333821614583333,2.1000054041605556,1.0,0.0,11.933333333333334,4.494696747342886,52.9,35.5308025667094,11.933333333333334,4.494696747342886,23.3,9.17323693480491,0.0379239420666787,0.056252097018882966
10,strict,aer,aer_simulator,30,30,1.3733333349227905,1.658194546305344,0.5,0.5085476277156078,0.9520670572916666,0.0718029482728786,0.05081380208333333,0.07980476436522972,1.0,0.0,1.6,0.6746646676632053,0.7,0.9153857298880941,1.6,0.6746646676632053,3.2666666666666666,1.5070714541175854,0.006877488166666467,0.0035003343983852075
12,strict,aer,aer_simulator,30,30,0.47333333094914753,1.1861073146034584,0.8333333333333334,0.3790490217894517,0.687451171875,0.25242094828322836,0.438623046875,0.3807664812232147,1.0,0.0,3.7,1.7840287611722112,6.466666666666667,5.727931162496531,3.7,1.7840287611722112,7.666666666666667,3.735508397595399,0.0076365540999934435,0.0032816677544946615
14,strict,aer,aer_simulator,30,30,0.19333333174387615,0.7727841810222382,0.9333333333333333,0.2537081317024624,0.5862630208333334,0.34286591816019524,0.7179524739583333,0.6677471759824597,1.0,0.0,4.7,2.465625751168978,11.233333333333333,10.351356177460211,4.7,2.465625751168978,9.633333333333333,5.081971741520136,0.00768202113335212,0.003109287419696963
16,strict,aer,aer_simulator,30,30,0.19666666984558107,0.8397386183723027,0.9333333333333333,0.2537081317024624,0.33079427083333335,0.39036171785811835,1.7037109375,1.331990800402117,1.0,0.0,7.566666666666666,3.953901027255656,30.066666666666666,24.67154347565763,7.566666666666666,3.953901027255656,15.433333333333334,8.054484008530787,0.011065827966664627,0.006805648526617343
18,strict,aer,aer_simulator,30,30,0.19333333298563957,0.523867137714075,0.8285714285714286,0.37777823773159436,0.19939778645833334,0.31068862220431065,2.821875,2.027165026026397,1.0,0.0,11.733333333333333,4.600849496772745,65.8,43.01675695947272,11.733333333333333,4.600849496772745,23.866666666666667,9.287490041145015,0.04809780609998592,0.09735058088352201
19,strict,aer,aer_simulator,30,30,0.046666665871938066,0.20633640866929834,0.9619047619047619,0.18353527785474355,0.18020833333333333,0.22182842628562863,2.7259928385416665,1.8890568475388547,1.0,0.0,11.9,4.253598881920563,65.23333333333333,43.03060926054073,11.9,4.253598881920563,24.1,8.750763513486438,0.031728119633347235,0.03663261230071889
